"Actitis_hypoleucos","Actophilornis_africanus","Alcedo_cristata","Alopochen_aegyptiaca","Amaurornis_flavirostra","Anas_acuta","Anas_capensis","Anas_clypeata","Anas_erythrorhyncha","Anas_hottentota","Anas_querquedula","Anas_undulata","Anastomus_lamelligerus","Anhinga_rufa","Ardea_cinerea","Ardea_goliath","Ardea_melanocephala","Ardea_purpurea","Ardeola_ralloides","Arenaria_interpres","Balearica_regulorum","Bostrychia_hagedash","Bubulcus_ibis","Burhinus_vermiculatus","Butorides_striata","Calidris_alba","Calidris_ferruginea","Calidris_minuta","Casmerodius_albus","Ceryle_rudis","Charadrius_dubius","Charadrius_leschenaultii","Charadrius_marginatus","Charadrius_mongolus","Charadrius_pallidus","Charadrius_pecuarius","Charadrius_tricollaris","Chlidonias_hybrida","Chlidonias_leucopterus","Ciconia_ciconia","Ciconia_episcopus","Ciconia_nigra","Circus_aeruginosus","Circus_ranivorus","Dendrocygna_bicolor","Dendrocygna_viduata","Dromas_ardeola","Egretta_ardesiaca","Egretta_garzetta","Ephippiorhynchus_senegalensis","Fulica_cristata","Gallinago_gallinago","Gallinago_nigripennis","Gallinula_angulata","Gallinula_chloropus","Glareola_pratincola","Gorsachius_leuconotus","Halcyon_leucocephala","Haliaeetus_vocifer","Himantopus_himantopus","Larus_cirrocephalus","Larus_fuscus","Larus_hemprichii","Larus_ridibundus","Leptoptilos_crumeniferus","Limicola_falcinellus","Limosa_lapponica","Limosa_limosa","Megaceryle_maxima","Mesophoyx_intermedia","Mycteria_ibis","Netta_erythrophthalma","Numenius_arquata","Numenius_phaeopus","Nycticorax_nycticorax","Oxyura_maccoa","Pandion_haliaetus","Pelecanus_onocrotalus","Pelecanus_rufescens","Phalacrocorax_africanus","Phalacrocorax_carbo","Philomachus_pugnax","Phoeniconaias_minor","Phoenicopterus_roseus","Platalea_alba","Plectropterus_gambensis","Plegadis_falcinellus","Pluvialis_squatarola","Podiceps_cristatus","Podiceps_nigricollis","Porphyrio_porphyrio","Recurvirostra_avosetta","Rostratula_benghalensis","Sarkidiornis_melanotos","Scopus_umbretta","Sterna_bengalensis","Sterna_bergii","Sterna_caspia","Sterna_hirundo","Sterna_nilotica","Sterna_saundersi","Tachybaptus_ruficollis","Thalassornis_leuconotus","Threskiornis_aethiopicus","Tringa_erythropus","Tringa_glareola","Tringa_nebularia","Tringa_ochropus","Tringa_stagnatilis","Vanellus_armatus","Vanellus_coronatus","Vanellus_crassirostris","Vanellus_spinosus","Xenus_cinereus"
23.944444444,16.361111108,2.5,47.444444445,0.833333333,0,6.277777778,0,0.111111111,63.319444444,0.111111111,0.111111111,47.08333333,0,13.722222222,0,6.472222223,0,5.5,4.583333333,0.833333333,3.916666667,30.583333337,0.833333333,0,38.333333337,3507.722221892,1979.916666667,3.458333333,18.333333334,475.000000037,384.166666633,114.7916667,618.750000034,0,3.541666667,1.513888889,0,62.5,0,0.833333333,0,0.430555555,0,2.916666667,23.75,540,5.416666667,4.166666667,0,2.847222223,0.722222222,0,0,0.111111111,0,0,0,2.444444445,90.180555553,301.763888844,58.75,169.1666667,0.111111111,0,47.08333333,2.5,0.222222222,0,0,21.250000003,2,24.375000003,35.208333337,7.777777778,0,1.208333333,1684.055555667,24.791666667,15.000000003,307.56944445,50.041666667,25,389.7222222,53.763888883,0,39.055555553,53.75,0,1.333333333,0,1.25,0,0,1.930555556,186.6666667,62.5,19.166666667,0,43.750000007,127.0833333,67.041666667,0,27.194444447,0,43,22.791666663,1.583333334,47.777777775,23.027777773,0.111111111,0,13.125,142.5
4.666666667,0.111111111,0,9.666666667,0,0,6.222222222,0,0.111111111,0,0.111111111,0.611111111,0,0,2.888888889,0,0.222222222,0,3,0,0.833333333,0,30.16666667,0,0,0,7.722222222,5.333333333,2,0.055555556,0,0,0,0,0,5.888888889,0,20.88888889,2.055555556,0,0,0,0.222222222,0,0,0,0,0,1.222222222,0,0,0.722222222,0,0,0.111111111,0,0,0,0.777777778,34.11111111,298.9444444,0,0,0.111111111,1.277777778,0,0,0.222222222,0,0,2,0,0,0,0.277777778,0,0,1674.888889,0.333333333,5.055555556,10.27777778,0.111111111,3091.666667,387.2222222,19.38888889,0,38.22222222,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0.5,0,5.5,0,0.444444444,0,0,3.166666667,0.277777778,0.111111111,20.94444444,0.111111111,0,0,0
31.544566544,1.666666667,3.415750916,54.055555548,0.833333333,0,8.034188034,0.833333333,15.857142854,3.492063492,10.71428571,12.515873015,0,0,2.531746031,0,13.154761908,0,4.230769231,0.833333333,1.65079365,7.961538461,69.016483519,0,0,25,61.388888886,1225.146520145,5.857142856,6.268009768,115.222222221,641.6666667,0,316.6666667,0,15.111111109,2.259462759,12.025641021,34.05555556,0,0,0,0.706349206,0,7.023809524,17.142857138,310,0,13.476190478,0,6.987789988,0,0,0,0,0,0,0,0.985042736,76.36263736,46.358974357,0,0,0.5,26.163003662,0,0,0,0.256410256,0.912698413,77.420634919,14.64285714,0,112.5,7.5,0,0,135.794871772,1.852258853,17.382173385,42.716117217,253.985958485,1241.1666667,2105.2777777,2.325396825,0,1.904761905,154.1666667,0,0,0,14.833333336,0,0.119047619,2.063492064,3.333333333,0,0,0,52.055555559,0,155.214743587,0,16.474969475,0,14.682539682,127.944444478,0.952380952,23.597069597,14.36935287,0.333333333,0.238095238,1.461538462,125
0,0,0,1.888888889,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.66666667,0,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.398809523,0.833333333,0,5.833333333,1.904761905,2.380952381,0,0,2.5,0,60.71428571,2.492063492,5.833333333,0,3.06547619,0,12.083333333,0,0.714285714,4.166666667,0,4.047619048,13.45238095,0,0,69.166666663,302.083333363,207.763888852,0.654761905,5,190.565476157,64.58333333,8.75,75.208333334,0.444444444,2.472222222,0.055555556,31.182539684,76.9047619,0,0,0,0.476190476,0,0,4.404761905,0,0.416666667,1.166666667,0,39.04761905,0,0,0,4.761904762,0.833333333,0,0.119047619,0.055555556,33.065476194,0,14.583333333,260.83333337,0,19.928571427,0.416666667,0,0,0,0.119047619,273.448412722,2.142857143,3.125,3.958333333,3.69047619,0,0.208333333,16.666666667,30.341269838,7.767857143,23.125,85.158730158,2317.611111,171.4583333,11.517857143,0,0.119047619,48.75,0,0,0,1.25,0,0,0.166666667,140.000000003,26.66666667,22.083333334,2208.333333,50.000000003,408.54166663,0.055555556,0.595238095,22.640873015,0,11.488095238,21.666666663,0,21.279761901,3.214285714,0,0,60.595238103,33.749999997
47.82471001,14.276556775,2.267094018,209.770909635,4.230769231,3.974053725,166.152777777,189.608821745,81.568605003,65.445665443,116.397435895,16.098901098,0,0.192307692,31.955891334,2.323717948,3.418192917,2.756410256,16.165445671,14.583333337,92.615995113,21.436813187,28.156898655,0,0,29.583333337,2013.065170908,4282.748016252,14.818019943,15.41178266,263.972985377,185.833333337,12.916666667,401.874999933,0.5,42.914987796,40.208104395,33.708028089,272.835317419,0.119047619,0.208333333,0,2.253510378,0,3.177655678,14.880952381,324.1666667,0.388888889,13.914377289,0.119047619,364.390720401,1.136752137,0.055555556,0.576923077,1.025641026,0,0,0,15.999465812,243.354319248,83.814255195,37.91666667,329.1666667,14.017094018,26.341880347,1.666666667,1.25,4.893162393,3.358974359,13.57791514,24.21771978,9.917582418,50.208333333,168.958333337,0,4.166666667,0.208333333,638.443376055,9.39041514,104.365231993,1167.766025644,147.276633083,40039.442311726,1540.41613241,46.037774728,4.122100122,29.793040292,102.500000003,0,146.314102597,0,326.527243609,0,1.84981685,11.149114774,210.00000003,30.41666667,42.29166666,4.583333333,35.409188034,749.16666667,377.66109585,0,131.079517705,0.333333333,93.036630039,92.100274723,5.783806472,40.293650794,46.759615384,0.512820513,1.832112332,117.142170329,178.750000033
58.563721005,7.051282052,6.314407814,51.694139198,1.534188034,0,184.080687798,256.5,25.143874639,16.314102567,2.562271062,13.35989011,0,0,11.609508547,0.311965812,41.223137972,4.837606837,10.2002442,14.583333334,6.46031746,20.76694139,21.670329671,2.5,0,30.000000003,1772.662037037,2251.21461639,0.119047619,11.131257632,148.55886243,708.958333334,10.83333333,956.458333337,22.444444442,12.94212963,6.77744709,68.571937324,17.96082621,0,2.5,0,2.835927961,0.423076923,9.661172161,42.994505491,308.3333333,0,19.175213675,0.238095238,61.693070825,6.770833334,0.777777778,0,1.217948718,0,0,0,5.653769843,45.085648148,63.344729347,80,187.50000003,3.333333333,13.623677249,0.833333333,0.416666667,0,0.448717949,0.792735044,6.265491453,5.787545788,40.416666663,149.583333367,0.128205128,3.333333333,0.208333333,58.950142457,15.85042735,40.290598294,171.556318683,88.600020351,18444.560184778,722.680555619,15.837810335,0,0.183150183,343.9583333,0,7.291666667,0.175213675,128.715277796,0,0,3.85218254,48.75,17.5,5.833333333,0,73.937321929,80.000000007,10.790827228,5.277777778,34.60765161,0.111111111,19.431573056,151.44009459,6.947420636,82.991096877,44.18905169,0.166666667,2.777777778,65.378357753,748.541666667
57.743589744,28.46153846,8.15995116,139.823870577,3.741147742,3.036324787,140.24305555,69.624999995,63.198794262,115.810897403,2.932692308,20.804487183,8.333333333,0.128205128,29.816926129,1.594017094,17.240537237,4.974358975,30.092948717,3.333333334,1.429792429,33.137286329,41.65918804,0,0,190.416666703,2228.720085473,1745.418879724,27.647893774,26.134004883,473.677350354,82.5,45.208333333,72.708333333,0.611111111,41.668803419,1.722298535,71.40331197,125.893162392,0.055555556,0,0,1.854700854,0.183760684,3.525641025,14.940476187,523.3333333,0,40.522435896,0.055555556,278.995726495,6.087301588,0,0.384615385,3.074633699,0,0,0,7.863247862,410.240918778,255.298076939,45.416666667,58.749999993,4.188034188,12.888888889,0,1.666666666,5.801282051,2.564102564,17.540598287,25.525335778,0.333333333,43.750000003,161.0416667,16.904761908,2.402777778,0.272435897,2153.62393139,39.309829058,403.279304022,584.628739376,217.16826923,17507.9513889,945.791666663,34.835851651,7.399572649,13.574786325,32.916666667,0,129.22222223,0.641025641,15.208333334,0.555555556,0.055555556,1.156288156,139.166666697,39.58333333,15.208333333,158.75,205.911858972,178.124999993,1466.433226496,0,152.80960012,4.246794872,16.997786935,139.147130683,1.644078144,65.031898654,40.81784188,2.55982906,7.115384615,59.166666664,147.499999993
162.149776144,77.414835164,4.717338217,227.284416968,3.888888889,3.742979242,154.028871589,393.791819327,140.457061459,69.647893773,12.548229548,59.586080582,22.77777778,0,41.51040395,2.980769231,13.468101342,5.35042735,27.765669513,11.25,2.893772894,46.400641023,219.55367321,0,0,11.666666667,420.287672905,658.545533136,18.382936508,26.665598288,140.487154043,86.66666667,42.500000003,2.5,316.1111111,23.846815217,13.044286731,124.522537641,78.039835158,6.444444444,3.958333333,0,8.949175824,0,5.119047619,153.74999999,100.8333333,5.416666667,57.193477814,0.611111111,520.541056069,5.026709402,0,0,3.568376068,0.416666667,0.055555556,0.416666667,15.477564103,457.006511925,341.010683756,0.416666667,464.99999997,3.222222222,69.063670128,0,0.833333333,8.393162393,1.153846154,36.150488395,157.562271063,40.098443223,7.916666666,21.041666663,0.349206349,36.944444448,0.472222223,4189.463319089,520.13853273,110.973748473,1689.482905987,386.294566533,44217.773332792,800.707265017,65.079975582,1.55448718,32.948717949,99.791666667,0,23.229166667,1.837606838,483.171652415,0,0.384615385,5.378357753,61.874999997,78.33333334,34.166666663,0,251.624999952,2.083333333,707.455738777,0.555555556,217.422568175,1.567078754,127.866351247,64.152803217,18.462784901,55.626780624,89.42363655,0,6.354700855,95.728250909,73.958333336
96.042709606,6.529304029,1.35989011,253.908424932,0.413308914,5.821886446,13.514423077,150.655982899,50.843711849,138.4793956,259.508241758,57.955128203,0.416666667,0,30.216829467,0.367521367,4.720467034,0.384615385,1.996133497,12.083333333,0,41.18337912,144.227920225,0.416666667,0,91.666666663,3000.660714283,2371.959605169,14.99475987,11.157509158,283.469551282,1005.00000003,9.166666667,557.91666667,11.01851852,55.202533579,4.988298739,82.09923179,7.797619048,0,1.875,0,5.513507326,0,10.476190476,64.606227103,445,0,19.817663823,0,204.739468868,7.518162392,0,0,3.388888889,0,0,0.119047619,9.212835775,217.125661384,77.915954415,8.75,210.83333337,4.542124542,41.435744806,20.41666667,0,33.301282047,0.192307692,2.627772691,163.618945863,62.907051282,18.333333333,149.375,0,0,0.208333333,327.888888892,133.985449701,31.21626984,1040.773962148,500.506740893,123303.033976634,776.754273472,79.459503465,0.555555555,30.021520146,235.624999967,0,0.625,0.055555556,141.448896007,0,0.512820513,2.251068376,40.416666669,58.749999997,36.875000004,0,107.339743588,15.625,85.428418808,0,215.184600115,1.243589743,59.980743794,96.663207161,18.668370981,16.866859992,79.308429992,4.717948718,1.145299146,43.015873017,348.750000033
